genome,sequence_id,Country,Region
PA0007-C,PA0007-C.g493,Gambia,WAF
PA0011-C,PA0011-C.g14,Gambia,WAF
PA0013-C,PA0013-C.g168,Gambia,WAF
PA0014-C,PA0014-C.g222,Gambia,WAF
PA0015-C,PA0015-C.g78,Gambia,WAF
PA0016-C,PA0016-C.g136,Gambia,WAF
PA0018-C,PA0018-C.g157,Gambia,WAF
PA0020-C,PA0020-C.g160,Gambia,WAF
PA0021-C,PA0021-C.g91,Gambia,WAF
PA0022-C,PA0022-C.g464,Gambia,WAF
PA0028-C,PA0028-C.g778,Gambia,WAF
PA0029-C,PA0029-C.g160,Gambia,WAF
PA0034-C,PA0034-C.g26,Gambia,WAF
PA0034-C,PA0034-C.g62,Gambia,WAF
PA0036-C,PA0036-C.g152,Gambia,WAF
PA0038-C,PA0038-C.g279,Gambia,WAF
PA0040-C,PA0040-C.g82,Gambia,WAF
PA0041-C,PA0041-C.g171,Gambia,WAF
PA0042-C,PA0042-C.g114,Gambia,WAF
PA0045-C,PA0045-C.g257,Gambia,WAF
PA0046-C,PA0046-C.g112,Gambia,WAF
PA0046-C,PA0046-C.g417,Gambia,WAF
PA0050-C,PA0050-C.g64,Gambia,WAF
PA0051-C,PA0051-C.g444,Gambia,WAF
PA0056-C,PA0056-C.g415,Gambia,WAF
PA0059-C,PA0059-C.g51,Gambia,WAF
PA0067-C,PA0067-C.g654,Gambia,WAF
PA0068-C,PA0068-C.g597,Gambia,WAF
PA0069-C,PA0069-C.g97,Gambia,WAF
PA0072-C,PA0072-C.g104,Gambia,WAF
PA0072-C,PA0072-C.g30,Gambia,WAF
PA0075-C,PA0075-C.g648,Gambia,WAF
PA0078-C,PA0078-C.g151,Gambia,WAF
PA0089-C,PA0089-C.g407,Gambia,WAF
PA0098-C,PA0098-C.g209,Gambia,WAF
PA0101-C,PA0101-C.g86,Gambia,WAF
PA0104-C,PA0104-C.g106,Gambia,WAF
PA0134-C,PA0134-C.g295,Guinea,WAF
PA0137-C,PA0137-C.g88,Guinea,WAF
PA0141-C,PA0141-C.g195,Guinea,WAF
PA0144-C,PA0144-C.g184,Guinea,WAF
PA0148-C,PA0148-C.g83,Guinea,WAF
PA0149-C,PA0149-C.g650,Guinea,WAF
PA0151-C,PA0151-C.g126,Guinea,WAF
PA0152-C,PA0152-C.g90,Guinea,WAF
PA0153-C,PA0153-C.g236,Guinea,WAF
