Genome,Study,Country,Region,Year,Accession,Database,Continent
PA0007-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018933,varDB,Africa
PA0008-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018936,varDB,Africa
PA0011-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015410,varDB,Africa
PA0012-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR021977,varDB,Africa
PA0015-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015429,varDB,Africa
PA0016-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015338,varDB,Africa
PA0017-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR020112,varDB,Africa
PA0018-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015341,varDB,Africa
PA0020-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015390,varDB,Africa
PA0021-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015365,varDB,Africa
PA0022-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018937,varDB,Africa
PA0026-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR023472,varDB,Africa
PA0027-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015403,varDB,Africa
PA0029-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015381,varDB,Africa
PA0030-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018941,varDB,Africa
PA0032-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR020113,varDB,Africa
PA0034-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR021975,varDB,Africa
PA0035-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015361,varDB,Africa
PA0036-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015398,varDB,Africa
PA0037-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR015439,varDB,Africa
PA0038-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018944,varDB,Africa
PA0039-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR019539,varDB,Africa
PA0040-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018934,varDB,Africa
PA0041-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR020108,varDB,Africa
PA0042-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR020109,varDB,Africa
PA0044-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018946,varDB,Africa
PA0045-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018947,varDB,Africa
PA0046-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018948,varDB,Africa
PA0047-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR023680,varDB,Africa
PA0049-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018929,varDB,Africa
PA0050-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018959,varDB,Africa
PA0051-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR023470,varDB,Africa
PA0052-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018928,varDB,Africa
PA0053-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR019540,varDB,Africa
PA0056-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR023465,varDB,Africa
PA0057-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR020116,varDB,Africa
PA0059-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR023475,varDB,Africa
PA0061-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018960,varDB,Africa
PA0064-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR023467,varDB,Africa
PA0065-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018952,varDB,Africa
PA0067-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018978,varDB,Africa
PA0068-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR019543,varDB,Africa
PA0069-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR019544,varDB,Africa
PA0071-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018951,varDB,Africa
PA0073-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR019850,varDB,Africa
PA0074-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018927,varDB,Africa
PA0075-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR019849,varDB,Africa
PA0078-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018976,varDB,Africa
PA0079-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR023474,varDB,Africa
PA0081-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR022862,varDB,Africa
PA0084-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR020107,varDB,Africa
PA0085-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018962,varDB,Africa
PA0087-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR023466,varDB,Africa
PA0089-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR023476,varDB,Africa
PA0091-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR019546,varDB,Africa
PA0092-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018926,varDB,Africa
PA0093-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018950,varDB,Africa
PA0094-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR023471,varDB,Africa
PA0098-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018977,varDB,Africa
PA0099-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018953,varDB,Africa
PA0100-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018979,varDB,Africa
PA0101-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR019548,varDB,Africa
PA0102-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR018963,varDB,Africa
PA0104-C,1006-PF-GM-CONWAY,Gambia,Western,2008,ERR021979,varDB,Africa
PA0134-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063600,varDB,Africa
PA0137-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055487,varDB,Africa
PA0138-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063604,varDB,Africa
PA0140-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055468,varDB,Africa
PA0144-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063550,varDB,Africa
PA0145-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063602,varDB,Africa
PA0146-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063524,varDB,Africa
PA0147-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063548,varDB,Africa
PA0148-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063610,varDB,Africa
PA0149-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055497,varDB,Africa
PA0151-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055482,varDB,Africa
PA0152-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055493,varDB,Africa
PA0153-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063614,varDB,Africa
PA0155-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055478,varDB,Africa
PA0157-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063603,varDB,Africa
PA0158-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063542,varDB,Africa
