,sequence_id,mds_3d,mds_3d_x,mds_3d_y,mds_3d_z
0,10668.g605,"[-233.92218667742335, -532.4378898614302, 1195.3283386619942]",-233.92218667742335,-532.4378898614302,1195.3283386619942
1,6816.g324,"[390.52209839567274, 898.7887856804329, -1395.8999359661286]",390.52209839567274,898.7887856804329,-1395.8999359661286
2,8383.g469,"[-1138.9646881454803, -678.3982031938274, 229.80259604771922]",-1138.9646881454803,-678.3982031938274,229.80259604771922
3,Dd2-040005100,"[-309.9530364397603, -683.5876240094555, -870.6444476555055]",-309.9530364397603,-683.5876240094555,-870.6444476555055
4,GA01-010005600,"[844.7707056910534, 371.9711706963416, -1112.941478737301]",844.7707056910534,371.9711706963416,-1112.941478737301
5,GN01-050037800,"[-88.75005998674854, 1329.7143662467693, -574.1554158279406]",-88.75005998674854,1329.7143662467693,-574.1554158279406
6,GN01-090005800,"[-1274.7026206619662, -330.4243347857429, -850.1663547366618]",-1274.7026206619662,-330.4243347857429,-850.1663547366618
7,GN01-100005800,"[-277.32156728575967, 267.05777493439945, 1160.841525385351]",-277.32156728575967,267.05777493439945,1160.841525385351
8,GN01-140085400,"[-371.28462388736153, -966.420914771611, -524.9000567866326]",-371.28462388736153,-966.420914771611,-524.9000567866326
9,IT4-060036700,"[256.5567658197763, 470.7235135143963, -336.68641913611134]",256.5567658197763,470.7235135143963,-336.68641913611134
10,PA0012-C.g624,"[424.15909460457715, -555.0509716817008, -826.5031962401138]",424.15909460457715,-555.0509716817008,-826.5031962401138
11,PA0013-C.g522,"[243.18324832821116, 1077.655344202841, -867.6909618824777]",243.18324832821116,1077.655344202841,-867.6909618824777
12,PA0017-C.g100,"[731.3130855373672, 432.4771586654547, 409.84576504596936]",731.3130855373672,432.4771586654547,409.84576504596936
13,PA0017-C.g138,"[-459.64119318625444, -500.98234768742566, 1010.3267256963985]",-459.64119318625444,-500.98234768742566,1010.3267256963985
14,PA0021-C.g136,"[-311.3419791606666, 97.81389816220488, 1169.9150958098267]",-311.3419791606666,97.81389816220488,1169.9150958098267
15,PA0021-C.g603,"[-1009.7937518517806, 139.86358346316067, -1022.9520337408767]",-1009.7937518517806,139.86358346316067,-1022.9520337408767
16,PA0027-C.g792,"[-995.875112457203, 1140.5023490267624, -61.27401966934634]",-995.875112457203,1140.5023490267624,-61.27401966934634
17,PA0032-C.g514,"[-1216.784622625574, -172.90051249554807, -115.88818534003859]",-1216.784622625574,-172.90051249554807,-115.88818534003859
18,PA0034-C.g139,"[-900.7426263352424, 495.38425190546803, -163.05970273139116]",-900.7426263352424,495.38425190546803,-163.05970273139116
19,PA0036-C.g506,"[-447.5962022799049, 1312.435611398562, -338.7294589007739]",-447.5962022799049,1312.435611398562,-338.7294589007739
20,PA0037-C.g367,"[529.3499029126697, -978.6774195696834, 493.1058043930856]",529.3499029126697,-978.6774195696834,493.1058043930856
21,PA0039-C.g297,"[-1015.9084972770396, -114.41493936878105, -1052.3151444897146]",-1015.9084972770396,-114.41493936878105,-1052.3151444897146
22,PA0041-C.g140,"[444.1268742411624, -710.9195712896758, -665.2627810652334]",444.1268742411624,-710.9195712896758,-665.2627810652334
23,PA0041-C.g668,"[-1349.216809083533, -676.8418482422754, -796.4806128622937]",-1349.216809083533,-676.8418482422754,-796.4806128622937
24,PA0042-C.g557,"[-812.4462509982982, -1088.751523672249, -322.1135779515276]",-812.4462509982982,-1088.751523672249,-322.1135779515276
25,PA0042-C.g84,"[-279.6791949674773, -663.5127987640637, -383.38030073907123]",-279.6791949674773,-663.5127987640637,-383.38030073907123
26,PA0049-C.g13,"[773.0559455129846, -745.1428432371442, 1029.0094950504722]",773.0559455129846,-745.1428432371442,1029.0094950504722
27,PA0049-C.g45,"[816.3019172130453, -444.49024547034446, 1032.2985040172973]",816.3019172130453,-444.49024547034446,1032.2985040172973
28,PA0053-C.g120,"[957.3338903846977, 246.22058471472448, -694.9940109055227]",957.3338903846977,246.22058471472448,-694.9940109055227
29,PA0061-C.g151,"[-203.81745927917322, 392.26683369159963, -399.55645128337375]",-203.81745927917322,392.26683369159963,-399.55645128337375
30,PA0061-C.g275,"[-35.09119816233186, 100.05920476656924, 1230.8561975350347]",-35.09119816233186,100.05920476656924,1230.8561975350347
31,PA0065-C.g163,"[467.0709561297436, 1220.2281264996343, -742.5044870557473]",467.0709561297436,1220.2281264996343,-742.5044870557473
32,PA0067-C.g452,"[-801.6909985439564, 601.6182701972355, -1044.5455213441865]",-801.6909985439564,601.6182701972355,-1044.5455213441865
33,PA0081-C.g61,"[501.40347322215933, 49.19397138585686, -750.3251644709867]",501.40347322215933,49.19397138585686,-750.3251644709867
34,PA0084-C.g110,"[-850.5338321909026, -1045.4185844108376, -359.6976624078347]",-850.5338321909026,-1045.4185844108376,-359.6976624078347
35,PA0084-C.g133,"[-832.9505065905603, 34.50047501283457, 774.8956663663826]",-832.9505065905603,34.50047501283457,774.8956663663826
36,PA0084-C.g718,"[-837.2589118644764, -638.8645067910704, -218.7680686515608]",-837.2589118644764,-638.8645067910704,-218.7680686515608
37,PA0092-C.g301,"[392.97305667955237, -991.8624273810302, 855.3860782868364]",392.97305667955237,-991.8624273810302,855.3860782868364
38,PA0098-C.g649,"[672.5832519965508, -716.0691632223014, -649.8806549908802]",672.5832519965508,-716.0691632223014,-649.8806549908802
39,PA0102-C.g17,"[275.1893922310002, -263.63736221532605, -806.9033806945744]",275.1893922310002,-263.63736221532605,-806.9033806945744
40,PA0104-C.g52,"[-606.5377186229985, 622.4259065540268, 931.4904836470987]",-606.5377186229985,622.4259065540268,931.4904836470987
41,PA0134-C.g128,"[-446.3709114020089, 368.92086403428885, -595.5121277703882]",-446.3709114020089,368.92086403428885,-595.5121277703882
42,PA0134-C.g358,"[965.4158862897503, -645.4364355996718, 611.0243981882155]",965.4158862897503,-645.4364355996718,611.0243981882155
43,PA0135-C.g1512,"[-392.3082659066772, -88.68436360558775, -1481.28061456555]",-392.3082659066772,-88.68436360558775,-1481.28061456555
44,PA0141-C.g166,"[1146.733930293444, -596.0823780172251, 184.62505024250274]",1146.733930293444,-596.0823780172251,184.62505024250274
