,sequence_id,mds_3d,mds_3d_x,mds_3d_y,mds_3d_z
0,10668.g597,"[-59.2548047045517, 938.7246505431232, 128.44069905766324]",-59.2548047045517,938.7246505431232,128.44069905766324
1,10936.g340,"[724.3836162456383, 765.329002360992, 317.5568944398133]",724.3836162456383,765.329002360992,317.5568944398133
2,10975.g901,"[59.83038957511963, 787.9038873813994, -145.65860567645566]",59.83038957511963,787.9038873813994,-145.65860567645566
3,3D7-0400400,"[-589.5557675794291, 1285.815764173735, 535.3888410785084]",-589.5557675794291,1285.815764173735,535.3888410785084
4,3D7-0600200,"[-621.6756716974296, -659.6924553177321, -504.6360013150267]",-621.6756716974296,-659.6924553177321,-504.6360013150267
5,6816.g267,"[-214.51354467894768, -1046.888496678674, -7.111254061931199]",-214.51354467894768,-1046.888496678674,-7.111254061931199
6,CD01-040005300,"[-385.10789032448315, -946.8458708303802, -31.851731380884008]",-385.10789032448315,-946.8458708303802,-31.851731380884008
7,CD01-060005500,"[-224.31307286131988, 782.2593100370453, 418.39867227391295]",-224.31307286131988,782.2593100370453,418.39867227391295
8,Dd2-070016300,"[486.9428255202418, 212.27659139221674, 642.7975819818481]",486.9428255202418,212.27659139221674,642.7975819818481
9,GB4-070018000,"[486.9428255202419, 212.27659139221646, 642.7975819818478]",486.9428255202419,212.27659139221646,642.7975819818478
10,GB4-110006900,"[1051.0689068039057, -16.489147380760347, 638.7098688479858]",1051.0689068039057,-16.489147380760347,638.7098688479858
11,IT4-010005000,"[-1005.6988813682095, 434.76932054675, 765.8993070464691]",-1005.6988813682095,434.76932054675,765.8993070464691
12,IT4-020027600,"[0.7731935146295957, 1005.4283613757225, 325.68229716497206]",0.7731935146295957,1005.4283613757225,325.68229716497206
13,IT4-070017000,"[486.9428255202421, 212.27659139221672, 642.7975819818485]",486.9428255202421,212.27659139221672,642.7975819818485
14,KH02-030005900,"[-475.98033255661323, 746.2517461222161, -635.2417594886629]",-475.98033255661323,746.2517461222161,-635.2417594886629
15,PA0007-C.g26,"[221.85698657747847, -924.228882803792, -411.7393257881477]",221.85698657747847,-924.228882803792,-411.7393257881477
17,PA0012-C.g128,"[486.94282552024276, 212.2765913922166, 642.7975819818487]",486.94282552024276,212.2765913922166,642.7975819818487
18,PA0013-C.g207,"[902.8127736610688, 186.92349613749198, -730.883494577676]",902.8127736610688,186.92349613749198,-730.883494577676
19,PA0014-C.g292,"[600.1918402424391, -364.08779239970806, 855.418699388106]",600.1918402424391,-364.08779239970806,855.418699388106
20,PA0014-C.g365,"[-249.8862344780069, -408.33824919649396, -980.3403352295051]",-249.8862344780069,-408.33824919649396,-980.3403352295051
