Sample_ID,Genome,Study,Country,Region,Year,Accession,Database,Continent,updated_arc,updated_Subtype
10668.g597,10668,,Kenya,,,ERS166381,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRd1,DBLa2-CIDRa1.1 head structure with DBLg6
10936.g340,10936,,Kenya,,,ERS166381,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
10975.g901,10975,,Kenya,,,ERS166381,varDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
3D7-0400400,3D7,n/a,n/a,n/a,1987,GCA_000002765,PlasmoDB,Africa,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg11-DBLd1-CIDRg8,DBLa1.2-CIDRa1.1 head structure with DBLg6
3D7-0600200,3D7,n/a,n/a,n/a,1987,GCA_000002765,PlasmoDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.8 head structure with DBLg4
6816.g267,6816,,Kenya,,,ERS166381,varDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
CD01-040005300,CD01,Otto_et_al_2018,DRC,n/a,2018,GCA_900617135.1,PlasmoDB,Africa,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz5-DBLe4,DBLa2-CIDRa1.8 head structure with DBLg4
CD01-060005500,CD01,Otto_et_al_2018,DRC,n/a,2018,GCA_900617135.1,PlasmoDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
Dd2-070016300,Dd2,Wellems_et_al_1988 ,SE_Asia,n/a,1988,GCA_900632045.1,PlasmoDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
GB4-070018000,GB4,n/a,Ghana,n/a,2003,GCA_900632035.1,PlasmoDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
GB4-110006900,GB4,n/a,Ghana,n/a,2003,GCA_900632035.1,PlasmoDB,Africa,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg6
IT4-010005000,IT4,n/a,SE_Asia,n/a,1981,GCA_900632055.1,PlasmoDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1-DBLg9,DBLa2-CIDRa1.1 head structure with DBLg6
