,sequence_id,mds_3d,mds_3d_x,mds_3d_y,mds_3d_z
1,10936.g229,"[274.7232918579869, 869.6067376748351, -1236.248410786044]",274.7232918579869,869.6067376748351,-1236.248410786044
2,3D7-1150400,"[-257.14685380014265, -127.13928631987305, 1139.0411040003373]",-257.14685380014265,-127.13928631987305,1139.0411040003373
5,9106.g5,"[-402.10645749705935, 378.4575606055157, 1248.8344047402272]",-402.10645749705935,378.4575606055157,1248.8344047402272
6,9215.g14,"[-562.9467536598798, 308.33687736194736, 1045.4970131370992]",-562.9467536598798,308.33687736194736,1045.4970131370992
7,9605.g240,"[4738.907299877277, 56.822381579309244, -1956.701564531706]",4738.907299877277,56.822381579309244,-1956.701564531706
14,GN01-130079200,"[611.8483176238483, -1092.7857094853534, -58.115128858011474]",611.8483176238483,-1092.7857094853534,-58.115128858011474
16,HB3-130080100,"[189.01879898716652, -1352.1523207384837, 329.94158884910456]",189.01879898716652,-1352.1523207384837,329.94158884910456
18,KE01-030005200,"[-402.97315608438714, 377.34086478929345, 1248.6446018640893]",-402.97315608438714,377.34086478929345,1248.6446018640893
21,PA0011-C.g541,"[-872.5647407505579, 97.05593839170443, 972.795280822115]",-872.5647407505579,97.05593839170443,972.795280822115
28,PA0020-C.g45,"[-1121.3143170349297, -38.985797318479456, 913.4333948646979]",-1121.3143170349297,-38.985797318479456,913.4333948646979
38,PA0034-C.g440,"[492.66457407572807, 567.5184184245021, -539.8322917760231]",492.66457407572807,567.5184184245021,-539.8322917760231
41,PA0039-C.g270,"[-1015.5525056069376, -557.7792440722304, 535.2077550797515]",-1015.5525056069376,-557.7792440722304,535.2077550797515
44,PA0040-C.g573,"[-184.35538637258097, -602.639688596412, -1385.2628951645577]",-184.35538637258097,-602.639688596412,-1385.2628951645577
46,PA0041-C.g519,"[41.1759808353577, 179.05072850140226, 991.2456564395849]",41.1759808353577,179.05072850140226,991.2456564395849
51,PA0049-C.g140,"[904.0367551774872, 793.0658506809472, 258.2088050961589]",904.0367551774872,793.0658506809472,258.2088050961589
54,PA0052-C.g18,"[-424.87003188854777, 1199.8719718187663, 314.6018350914199]",-424.87003188854777,1199.8719718187663,314.6018350914199
56,PA0053-C.g320,"[-1038.3135509304525, -699.5742111895488, -30.348471054668813]",-1038.3135509304525,-699.5742111895488,-30.348471054668813
